Position,Title,Premiere,Release
1,Snow White and the Seven Dwarfs,"December 21, 1937ÿ(premiere)",4-Feb-38
2,Pinocchio,"February 7, 1940ÿ(premiere)",9-Feb-40
3,Fantasia,"January 29, 1941ÿ(RKO roadshow)",8-Jan-42
4,Dumbo,23-Oct-41,
5,Bambi,13-Aug-42,
6,Saludos Amigos,"August 24, 1942ÿ(premiere)",6-Feb-43
7,The Three Caballeros,"December 21, 1944ÿ(premiere)",3-Feb-45
8,Make Mine Music,"April 20, 1946ÿ(premiere)",15-Aug-46
9,Fun and Fancy Free,27-Sep-47,
10,Melody Time,27-May-48,
11,The Adventures of Ichabod and Mr. Toad,5-Oct-49,
12,Cinderella,"February 15, 1950ÿ(premiere)",4-Mar-50
13,Alice in Wonderland,26-Jul-51,
14,Peter Pan,5-Feb-53,
15,Lady and the Tramp,"June 16, 1955ÿ(premiere)",22-Jun-55
16,Sleeping Beauty,29-Jan-59,
17,One Hundred and One Dalmatians,25-Jan-61,
18,The Sword in the Stone,25-Dec-63,
19,The Jungle Book,18-Oct-67,
20,The Aristocats,24-Dec-70,
21,Robin Hood,8-Nov-73,
22,The Many Adventures of Winnie the Pooh,11-Mar-77,
23,The Rescuers,22-Jun-77,
24,The Fox and the Hound,10-Jul-81,
25,The Black Cauldron,24-Jul-85,
26,The Great Mouse Detective,2-Jul-86,
27,Oliver & Company,"November 13, 1988ÿ(premiere)",18-Nov-88
28,The Little Mermaid,"November 14, 1989ÿ(premiere)",17-Nov-89
29,The Rescuers Down Under,16-Nov-90,
30,Beauty and the Beast,13-Nov-91,
31,Aladdin,11-Nov-92,
32,The Lion King,15-Jun-94,
33,Pocahontas,"June 16, 1995ÿ(premiere)",23-Jun-95
34,The Hunchback of Notre Dame,"June 19, 1996ÿ(premiere)",21-Jun-96
35,Hercules,"June 14, 1997ÿ(premiere)",
,,27-Jun-97,
36,Mulan,"June 5, 1998ÿ(premiere)",19-Jun-98
37,Tarzan,"June 12, 1999ÿ(premiere)",18-Jun-99
38,Fantasia 2000,"December 17, 1999ÿ(premiere)",1-Jan-00
39,Dinosaur,19-May-00,
40,The Emperor's New Groove,"December 10, 2000ÿ(premiere)",15-Dec-00
41,Atlantis: The Lost Empire,"June 3, 2001ÿ(premiere)",15-Jun-01
,,,
42,Lilo & Stitch,"June 16, 2002ÿ(premiere)",21-Jun-02
43,Treasure Planet,"November 17, 2002ÿ(premiere)",27-Nov-02
44,Brother Bear,"October 20, 2003ÿ(premiere)",24-Oct-03
45,Home on the Range,"March 21, 2004ÿ(premiere)",2-Apr-04
46,Chicken Little,"October 30, 2005ÿ(premiere)",4-Nov-05
47,Meet the Robinsons,30-Mar-07,21-Nov-08
49,The Princess and the Frog,"November 25, 2009ÿ(premiere)",11-Dec-09
,,,
50,Tangled,24-Nov-10,
51,Winnie the Pooh,15-Jul-11,
52,Wreck-It Ralph,"November 2, 2012[6]",
53,King of the Elves,TBD[7][8],
